00DSEX,15-01-2018,6117.90,6133.69,6054.51,6057.86,40614340,,,,,,,,,,,,,,,
00DS30,15-01-2018,2242.50,2247.86,2224.27,2224.87,40614340,,,,,,,,,,,,,,,
00DSES,15-01-2018,1384.33,1388.76,1374.60,1376.39,40614340,,,,,,,,,,,,,,,
DSEX,15-01-2018,6117.90,6133.69,6054.51,6057.86,40614340,,,,,,,,,,,,,,,
DS30,15-01-2018,2242.50,2247.86,2224.27,2224.87,40614340,,,,,,,,,,,,,,,
DSES,15-01-2018,1384.33,1388.76,1374.60,1376.39,40614340,,,,,,,,,,,,,,,
1JANATAMF,15-01-2018,6.5,6.5,6.4,6.5,116162,,,,,,,,,,,,,,,
1STPRIMFMF,15-01-2018,15.4,15.4,15.1,15.2,90708,,,,,,,,,,,,,,,
AAMRANET,15-01-2018,87.7,89,87.1,87.5,243430,,,,,,,,,,,,,,,
AAMRATECH,15-01-2018,32.9,33.5,32.4,32.7,142840,,,,,,,,,,,,,,,
ABB1STMF,15-01-2018,6.4,6.4,6.1,6.2,1440382,,,,,,,,,,,,,,,
ABBANK,15-01-2018,20,20.2,19.5,19.5,1639312,,,,,,,,,,,,,,,
ACI,15-01-2018,459,460.9,456.5,457.4,62525,,,,,,,,,,,,,,,
ACIFORMULA,15-01-2018,191.2,193.5,190,191.7,32011,,,,,,,,,,,,,,,
ACMELAB,15-01-2018,113.8,114,113,113.1,249715,,,,,,,,,,,,,,,
ACTIVEFINE,15-01-2018,34.7,34.9,34.5,34.8,326920,,,,,,,,,,,,,,,
AFCAGRO,15-01-2018,44.5,45.4,44.1,44.4,105652,,,,,,,,,,,,,,,
AFTABAUTO,15-01-2018,65,65,62.1,62.4,56364,,,,,,,,,,,,,,,
AGNISYSL,15-01-2018,22.1,22.1,21.4,21.6,181215,,,,,,,,,,,,,,,
AGRANINS,15-01-2018,20.4,20.4,20,20.1,8887,,,,,,,,,,,,,,,
AIBL1STIMF,15-01-2018,7.9,7.9,7.9,7.9,80007,,,,,,,,,,,,,,,
AIL,15-01-2018,105,105,96.5,98.4,335426,,,,,,,,,,,,,,,
ALARABANK,15-01-2018,24.9,24.9,24.2,24.4,754958,,,,,,,,,,,,,,,
AL-HAJTEX,15-01-2018,93,93.6,91,91.1,53365,,,,,,,,,,,,,,,
ALIF,15-01-2018,16.2,16.3,15.7,15.8,1358655,,,,,,,,,,,,,,,
ALLTEX,15-01-2018,11.5,11.8,11.5,11.6,35030,,,,,,,,,,,,,,,
AMANFEED,15-01-2018,62.5,62.6,61.2,61.9,88636,,,,,,,,,,,,,,,
AMBEEPHA,15-01-2018,390,390,385,386.7,251,,,,,,,,,,,,,,,
AMCL(PRAN),15-01-2018,220.2,223.5,220.2,222,16849,,,,,,,,,,,,,,,
ANLIMAYARN,15-01-2018,31.6,31.7,31.2,31.5,96361,,,,,,,,,,,,,,,
ANWARGALV,15-01-2018,78,78,74.9,75.2,108326,,,,,,,,,,,,,,,
APEXFOODS,15-01-2018,142.1,143.8,136.4,143.4,45438,,,,,,,,,,,,,,,
APEXFOOT,15-01-2018,317.3,319.8,315,315.4,6080,,,,,,,,,,,,,,,
APEXSPINN,15-01-2018,122.8,125,120.2,121,26590,,,,,,,,,,,,,,,
APEXTANRY,15-01-2018,144.6,145.6,144,145,2795,,,,,,,,,,,,,,,
APOLOISPAT,15-01-2018,16.4,16.5,16.2,16.3,588920,,,,,,,,,,,,,,,
ARAMIT,15-01-2018,343.6,343.6,341.2,342.5,5400,,,,,,,,,,,,,,,
ARAMITCEM ,15-01-2018,29.7,30.2,29.2,29.5,17402,,,,,,,,,,,,,,,
ARGONDENIM,15-01-2018,31,31,30.1,30.3,369967,,,,,,,,,,,,,,,
ASIAINS,15-01-2018,23,23,22.7,22.8,1424,,,,,,,,,,,,,,,
ASIAPACINS,15-01-2018,25,25.4,24.4,24.9,12100,,,,,,,,,,,,,,,
ATCSLGF,15-01-2018,11.5,11.5,11.4,11.5,38259,,,,,,,,,,,,,,,
ATLASBANG,15-01-2018,136.4,138,136.2,137.4,204973,,,,,,,,,,,,,,,
AZIZPIPES ,15-01-2018,173.8,174.8,165,165.9,64405,,,,,,,,,,,,,,,
BANGAS,15-01-2018,192.6,198,192.6,196.6,28201,,,,,,,,,,,,,,,
BANKASIA,15-01-2018,22.4,23.1,21.8,22.8,975966,,,,,,,,,,,,,,,
BARKAPOWER,15-01-2018,36.7,37.1,35.4,35.9,375258,,,,,,,,,,,,,,,
BATASHOE,15-01-2018,1170,1225,1165,1203.8,13389,,,,,,,,,,,,,,,
BATBC,15-01-2018,3400.4,3416,3400.4,3413.2,12710,,,,,,,,,,,,,,,
BAYLEASING,15-01-2018,27.8,27.8,27.4,27.4,89802,,,,,,,,,,,,,,,
BBS,15-01-2018,37.8,38.4,37.4,37.6,368181,,,,,,,,,,,,,,,
BBSCABLES,15-01-2018,105,105.7,103,103.2,218889,,,,,,,,,,,,,,,
BDAUTOCA,15-01-2018,132,132,124.1,124.9,131954,,,,,,,,,,,,,,,
BDCOM,15-01-2018,27.5,27.8,27.1,27.2,201304,,,,,,,,,,,,,,,
BDFINANCE,15-01-2018,21.6,21.8,21.1,21.2,422900,,,,,,,,,,,,,,,
BDLAMPS,15-01-2018,176,176.6,175.2,175.9,4178,,,,,,,,,,,,,,,
BDTHAI,15-01-2018,30.9,31.3,30,30.3,2077867,,,,,,,,,,,,,,,
BDWELDING,15-01-2018,23.6,23.7,23.2,23.2,126241,,,,,,,,,,,,,,,
BEACHHATCH,15-01-2018,16.9,16.9,16.7,16.8,131727,,,,,,,,,,,,,,,
BEACONPHAR,15-01-2018,21.1,21.1,20.9,21,272855,,,,,,,,,,,,,,,
BENGALWTL,15-01-2018,37.6,38.5,37.6,38.1,40050,,,,,,,,,,,,,,,
BERGERPBL,15-01-2018,2222.9,2250,2180,2198.5,37,,,,,,,,,,,,,,,
BEXIMCO,15-01-2018,26.8,27,26.4,26.6,1164771,,,,,,,,,,,,,,,
BGIC,15-01-2018,20.1,20.5,20.1,20.3,10379,,,,,,,,,,,,,,,
BIFC,15-01-2018,10.1,10.3,10.1,10.2,16748,,,,,,,,,,,,,,,
BNICL,15-01-2018,18.5,18.6,18.1,18.3,80384,,,,,,,,,,,,,,,
BRACBANK,15-01-2018,102.1,103,101.2,101.7,617237,,,,,,,,,,,,,,,
BSC,15-01-2018,44.9,45,44.3,44.4,113039,,,,,,,,,,,,,,,
BSCCL,15-01-2018,107.7,107.7,105.4,106.5,94066,,,,,,,,,,,,,,,
BSRMLTD,15-01-2018,100,100.9,98.8,99.4,68078,,,,,,,,,,,,,,,
BSRMSTEEL,15-01-2018,77.4,77.9,77,77.3,61134,,,,,,,,,,,,,,,
BXPHARMA,15-01-2018,103.9,103.9,101.1,101.5,315113,,,,,,,,,,,,,,,
BXSYNTH,15-01-2018,9.3,9.3,9.2,9.2,124641,,,,,,,,,,,,,,,
CAPMBDBLMF,15-01-2018,8.6,8.7,8.6,8.6,23635,,,,,,,,,,,,,,,
CENTRALINS,15-01-2018,24,24,23,23.8,1898,,,,,,,,,,,,,,,
CENTRALPHL,15-01-2018,19.1,19.4,18.9,18.9,352144,,,,,,,,,,,,,,,
CITYBANK,15-01-2018,47.8,48,46.4,46.6,1763121,,,,,,,,,,,,,,,
CITYGENINS,15-01-2018,17.6,18,17.5,17.6,49422,,,,,,,,,,,,,,,
CNATEX,15-01-2018,8.6,8.7,8.4,8.5,563713,,,,,,,,,,,,,,,
CONFIDCEM,15-01-2018,157.3,159,156.5,157.1,120559,,,,,,,,,,,,,,,
CONTININS,15-01-2018,21.7,21.7,21.6,21.6,900,,,,,,,,,,,,,,,
CVOPRL,15-01-2018,219.3,219.9,212.2,213.7,57847,,,,,,,,,,,,,,,
DACCADYE,15-01-2018,8.7,8.8,8.6,8.7,75686,,,,,,,,,,,,,,,
DAFODILCOM,15-01-2018,44.5,44.9,43,43.3,71689,,,,,,,,,,,,,,,
DBH,15-01-2018,133.5,133.5,128.1,128.9,110183,,,,,,,,,,,,,,,
DBH1STMF,15-01-2018,9.3,9.4,9.3,9.4,214077,,,,,,,,,,,,,,,
DELTALIFE,15-01-2018,103,105.9,103,104.1,29072,,,,,,,,,,,,,,,
DELTASPINN,15-01-2018,9.4,9.6,9.3,9.3,372578,,,,,,,,,,,,,,,
DESCO,15-01-2018,45.5,45.5,44,44.1,196081,,,,,,,,,,,,,,,
DESHBANDHU,15-01-2018,23.9,24.1,22.6,22.7,144341,,,,,,,,,,,,,,,
DHAKABANK,15-01-2018,20.1,20.1,19.6,19.8,1536169,,,,,,,,,,,,,,,
DHAKAINS,15-01-2018,24.3,24.5,24,24.1,12513,,,,,,,,,,,,,,,
DOREENPWR,15-01-2018,117.5,118.5,115.3,115.8,132117,,,,,,,,,,,,,,,
DSHGARME,15-01-2018,238.6,239.5,230,232.1,19381,,,,,,,,,,,,,,,
