00DSEX,18-02-2018,6050.20,6056.98,5945.48,5950.76,44023730,,,,,,,,,,,,,,,
00DS30,18-02-2018,2230.93,2234.39,2188.80,2193.54,44023730,,,,,,,,,,,,,,,
00DSES,18-02-2018,1405.44,1406.97,1393.03,1394.65,44023730,,,,,,,,,,,,,,,
DSEX,18-02-2018,6050.20,6056.98,5945.48,5950.76,44023730,,,,,,,,,,,,,,,
DS30,18-02-2018,2230.93,2234.39,2188.80,2193.54,44023730,,,,,,,,,,,,,,,
DSES,18-02-2018,1405.44,1406.97,1393.03,1394.65,44023730,,,,,,,,,,,,,,,
1JANATAMF,18-02-2018,6.2,6.3,6.2,6.2,179085,,,,,,,,,,,,,,,
1STPRIMFMF,18-02-2018,14,14.1,13.8,13.9,174685,,,,,,,,,,,,,,,
AAMRANET,18-02-2018,90,90,87,87.1,288403,,,,,,,,,,,,,,,
AAMRATECH,18-02-2018,32.8,33,32.5,32.7,120770,,,,,,,,,,,,,,,
ABB1STMF,18-02-2018,6.1,6.1,6,6,568248,,,,,,,,,,,,,,,
ABBANK,18-02-2018,18.9,19,18.1,18.2,1272199,,,,,,,,,,,,,,,
ACI,18-02-2018,425.1,430,418.5,419.7,69655,,,,,,,,,,,,,,,
ACIFORMULA,18-02-2018,184.2,185.4,182.1,182.3,6192,,,,,,,,,,,,,,,
ACMELAB,18-02-2018,112.8,112.9,111.1,111.4,70064,,,,,,,,,,,,,,,
ACTIVEFINE,18-02-2018,35,35,33.7,34.1,435440,,,,,,,,,,,,,,,
AFCAGRO,18-02-2018,41.2,41.5,39.3,40.4,97539,,,,,,,,,,,,,,,
AFTABAUTO,18-02-2018,60.7,60.8,59.8,60,25841,,,,,,,,,,,,,,,
AGNISYSL,18-02-2018,23.5,24,23.1,23.5,1805715,,,,,,,,,,,,,,,
AGRANINS,18-02-2018,19.4,19.4,19.3,19.4,1000,,,,,,,,,,,,,,,
AIBL1STIMF,18-02-2018,8.2,8.2,8.1,8.2,4000,,,,,,,,,,,,,,,
AIL,18-02-2018,109.9,111,102.1,103.3,748166,,,,,,,,,,,,,,,
ALARABANK,18-02-2018,24.1,24.2,23.7,24,606506,,,,,,,,,,,,,,,
AL-HAJTEX,18-02-2018,91.1,91.9,89,89.3,53172,,,,,,,,,,,,,,,
ALIF,18-02-2018,14.4,14.5,13.8,14,1828960,,,,,,,,,,,,,,,
ALLTEX,18-02-2018,13.4,13.4,12.5,12.9,262333,,,,,,,,,,,,,,,
AMANFEED,18-02-2018,62.2,62.5,59.3,59.9,173752,,,,,,,,,,,,,,,
AMBEEPHA,18-02-2018,406.5,412,396,398.2,9559,,,,,,,,,,,,,,,
AMCL(PRAN),18-02-2018,214.9,217.9,213.1,214.4,4733,,,,,,,,,,,,,,,
ANLIMAYARN,18-02-2018,31.9,31.9,31.3,31.4,62926,,,,,,,,,,,,,,,
ANWARGALV,18-02-2018,85.5,88.3,85.3,87.1,1021808,,,,,,,,,,,,,,,
APEXFOODS,18-02-2018,175,185.7,175,184.6,263196,,,,,,,,,,,,,,,
APEXFOOT,18-02-2018,335.2,335.2,331.8,332,15407,,,,,,,,,,,,,,,
APEXSPINN,18-02-2018,119.7,124.5,118.8,123.7,69503,,,,,,,,,,,,,,,
APEXTANRY,18-02-2018,145.4,146.5,143.6,145,31696,,,,,,,,,,,,,,,
