00DSEX,01-02-2018,6039.78,6072.44,6019.73,6021.45,32945950,,,,,,,,,,,,,,,
00DS30,01-02-2018,2238.95,2250.92,2226.30,2227.92,32945950,,,,,,,,,,,,,,,
00DSES,01-02-2018,1398.48,1404.44,1394.99,1397.06,32945950,,,,,,,,,,,,,,,
DSEX,01-02-2018,6039.78,6072.44,6019.73,6021.45,32945950,,,,,,,,,,,,,,,
DS30,01-02-2018,2238.95,2250.92,2226.30,2227.92,32945950,,,,,,,,,,,,,,,
DSES,01-02-2018,1398.48,1404.44,1394.99,1397.06,32945950,,,,,,,,,,,,,,,
1JANATAMF,01-02-2018,6.4,6.5,6.3,6.5,296048,,,,,,,,,,,,,,,
1STPRIMFMF,01-02-2018,14.4,14.5,13.7,13.9,227676,,,,,,,,,,,,,,,
AAMRANET,01-02-2018,92.9,93.6,90.2,90.8,345431,,,,,,,,,,,,,,,
AAMRATECH,01-02-2018,32.6,32.8,32.1,32.1,243745,,,,,,,,,,,,,,,
ABB1STMF,01-02-2018,6.2,6.2,6.1,6.2,198720,,,,,,,,,,,,,,,
ABBANK,01-02-2018,19.2,19.4,18.8,19,716085,,,,,,,,,,,,,,,
ACI,01-02-2018,437.9,437.9,430,431.8,35880,,,,,,,,,,,,,,,
ACIFORMULA,01-02-2018,183.5,187.7,183,185.1,56398,,,,,,,,,,,,,,,
ACMELAB,01-02-2018,115.4,116,114,114.8,67871,,,,,,,,,,,,,,,
ACTIVEFINE,01-02-2018,33.2,33.6,33,33.2,180351,,,,,,,,,,,,,,,
AFCAGRO,01-02-2018,42.8,42.8,40.8,41.1,76757,,,,,,,,,,,,,,,
AFTABAUTO,01-02-2018,60.5,61.2,60.3,60.5,22615,,,,,,,,,,,,,,,
AGNISYSL,01-02-2018,20.8,21,20.5,20.6,91720,,,,,,,,,,,,,,,
AGRANINS,01-02-2018,19.6,19.6,19.6,19.6,2000,,,,,,,,,,,,,,,
AIBL1STIMF,01-02-2018,8.1,8.1,8.1,8.1,23450,,,,,,,,,,,,,,,
AIL,01-02-2018,113.7,119,110.5,117.6,999410,,,,,,,,,,,,,,,
ALARABANK,01-02-2018,23.7,24.1,23.7,23.7,452502,,,,,,,,,,,,,,,
AL-HAJTEX,01-02-2018,86.1,86.2,84,85,44804,,,,,,,,,,,,,,,
ALIF,01-02-2018,14.9,15,14.6,14.7,1107245,,,,,,,,,,,,,,,
ALLTEX,01-02-2018,11.3,11.6,11.3,11.5,91400,,,,,,,,,,,,,,,
AMANFEED,01-02-2018,58.5,60.5,57.8,58,101784,,,,,,,,,,,,,,,
AMBEEPHA,01-02-2018,389,390,370,375.3,2332,,,,,,,,,,,,,,,
AMCL(PRAN),01-02-2018,218,218,213.7,214.6,7233,,,,,,,,,,,,,,,
ANLIMAYARN,01-02-2018,31.2,31.2,30.2,30.3,28621,,,,,,,,,,,,,,,
ANWARGALV,01-02-2018,70.5,71,69.7,70,191821,,,,,,,,,,,,,,,
APEXFOODS,01-02-2018,141.1,143.8,140.9,141.8,15764,,,,,,,,,,,,,,,
APEXFOOT,01-02-2018,324.5,326,319,319.5,18752,,,,,,,,,,,,,,,
APEXSPINN,01-02-2018,115,116.4,113.5,114.1,19952,,,,,,,,,,,,,,,
APEXTANRY,01-02-2018,140,140,136.8,137.1,37838,,,,,,,,,,,,,,,
APOLOISPAT,01-02-2018,14.4,14.5,14.2,14.3,639502,,,,,,,,,,,,,,,
ARAMIT,01-02-2018,337.1,343,337,338.6,1583,,,,,,,,,,,,,,,
ARAMITCEM ,01-02-2018,29.5,30.6,29.4,30.2,36738,,,,,,,,,,,,,,,
ARGONDENIM,01-02-2018,30.8,30.8,30,30.3,221914,,,,,,,,,,,,,,,
ASIAPACINS,01-02-2018,22.2,23.9,22.2,23.9,20622,,,,,,,,,,,,,,,
ATCSLGF,01-02-2018,10.7,10.8,10.6,10.7,207050,,,,,,,,,,,,,,,
ATLASBANG,01-02-2018,125.4,127.8,123.1,125.9,10888,,,,,,,,,,,,,,,
