00DSEX,04-01-2018,6318.27,6332.77,6295.07,6302.84,51876410,,,,,,,,,,,,,,,
00DS30,04-01-2018,2301.82,2308.73,2290.57,2295.22,51876410,,,,,,,,,,,,,,,
00DSES,04-01-2018,1411.97,1415.28,1405.29,1407.60,51876410,,,,,,,,,,,,,,,
DSEX,04-01-2018,6318.27,6332.77,6295.07,6302.84,51876410,,,,,,,,,,,,,,,
DS30,04-01-2018,2301.82,2308.73,2290.57,2295.22,51876410,,,,,,,,,,,,,,,
DSES,04-01-2018,1411.97,1415.28,1405.29,1407.60,51876410,,,,,,,,,,,,,,,
1JANATAMF,04-01-2018,6.6,6.6,6.5,6.5,9418,,,,,,,,,,,,,,,
1STPRIMFMF,04-01-2018,15.5,15.8,15.5,15.7,246255,,,,,,,,,,,,,,,
AAMRANET,04-01-2018,95.6,97.8,95.6,97,217435,,,,,,,,,,,,,,,
AAMRATECH,04-01-2018,34.1,34.1,33.5,33.8,136261,,,,,,,,,,,,,,,
ABB1STMF,04-01-2018,6.6,6.6,6.4,6.5,817990,,,,,,,,,,,,,,,
ABBANK,04-01-2018,21.9,22,21.7,21.8,1061426,,,,,,,,,,,,,,,
ACI,04-01-2018,462.6,464.9,461,461.9,16160,,,,,,,,,,,,,,,
ACIFORMULA,04-01-2018,177.5,182,177.1,180,9818,,,,,,,,,,,,,,,
ACMELAB,04-01-2018,114.9,115,114,114.2,146545,,,,,,,,,,,,,,,
ACTIVEFINE,04-01-2018,35.9,36.4,35.8,35.8,1094573,,,,,,,,,,,,,,,
AFCAGRO,04-01-2018,46.9,47.2,46.4,46.8,242403,,,,,,,,,,,,,,,
AFTABAUTO,04-01-2018,64.9,65.4,64.4,64.7,78076,,,,,,,,,,,,,,,
AGNISYSL,04-01-2018,22.7,22.9,22.3,22.4,437611,,,,,,,,,,,,,,,
AGRANINS,04-01-2018,20.6,22.4,20.6,21.3,7210,,,,,,,,,,,,,,,
AIBL1STIMF,04-01-2018,8,8,8,8,210000,,,,,,,,,,,,,,,
AIL,04-01-2018,128.9,131.1,119,120.4,99309,,,,,,,,,,,,,,,
ALARABANK,04-01-2018,24.6,25,24.6,24.9,2736861,,,,,,,,,,,,,,,
AL-HAJTEX,04-01-2018,95,95.7,94.6,94.9,42495,,,,,,,,,,,,,,,
ALIF,04-01-2018,25.1,25.2,24.6,24.7,2034163,,,,,,,,,,,,,,,
ALLTEX,04-01-2018,11.5,11.8,11.4,11.8,102187,,,,,,,,,,,,,,,
AMANFEED,04-01-2018,64.9,65.5,64.8,65.1,120564,,,,,,,,,,,,,,,
AMBEEPHA,04-01-2018,400,404.8,395,396.2,1310,,,,,,,,,,,,,,,
AMCL(PRAN),04-01-2018,225,227.9,225,227,30311,,,,,,,,,,,,,,,
ANLIMAYARN,04-01-2018,32.3,32.5,31.9,32.2,62341,,,,,,,,,,,,,,,
ANWARGALV,04-01-2018,80.6,80.8,78.3,78.9,236290,,,,,,,,,,,,,,,
APEXFOODS,04-01-2018,143.2,145,143,143.2,21952,,,,,,,,,,,,,,,
APEXFOOT,04-01-2018,322,324,320,320.6,7548,,,,,,,,,,,,,,,
APEXSPINN,04-01-2018,118.5,118.5,115.5,116.8,68749,,,,,,,,,,,,,,,
APEXTANRY,04-01-2018,148.5,149,148,148.6,8155,,,,,,,,,,,,,,,
APOLOISPAT,04-01-2018,17.2,17.3,17,17.2,809887,,,,,,,,,,,,,,,
ARAMIT,04-01-2018,357,357,346,352.2,18947,,,,,,,,,,,,,,,
ARAMITCEM ,04-01-2018,29.5,30.6,29.5,30,17632,,,,,,,,,,,,,,,
ARGONDENIM,04-01-2018,32.3,32.4,31.8,31.9,230931,,,,,,,,,,,,,,,
ASIAINS,04-01-2018,24,24,23,23.1,5316,,,,,,,,,,,,,,,
ASIAPACINS,04-01-2018,26,26,25,25.1,5477,,,,,,,,,,,,,,,
ATCSLGF,04-01-2018,12,12,11.6,11.6,145889,,,,,,,,,,,,,,,
ATLASBANG,04-01-2018,131,131,127.9,128.3,18679,,,,,,,,,,,,,,,
AZIZPIPES ,04-01-2018,148.3,151.8,147.4,149,6180,,,,,,,,,,,,,,,
BANGAS,04-01-2018,183.2,186,175,185.3,42754,,,,,,,,,,,,,,,
BANKASIA,04-01-2018,23.3,23.4,23.2,23.3,369521,,,,,,,,,,,,,,,
BARKAPOWER,04-01-2018,37.5,38.1,37.5,37.9,3185294,,,,,,,,,,,,,,,
BATASHOE,04-01-2018,1167,1170,1165,1168.2,798,,,,,,,,,,,,,,,
BATBC,04-01-2018,3426.9,3435,3418,3425.3,104,,,,,,,,,,,,,,,
BAYLEASING,04-01-2018,28.4,28.5,27.9,28.1,333792,,,,,,,,,,,,,,,
BBS,04-01-2018,39.4,40,39.4,39.7,437560,,,,,,,,,,,,,,,
BBSCABLES,04-01-2018,107,111.9,107,110.5,749635,,,,,,,,,,,,,,,
BDAUTOCA,04-01-2018,109.3,111.9,109.3,110.5,22635,,,,,,,,,,,,,,,
BDCOM,04-01-2018,28.7,29,28.2,28.7,1042767,,,,,,,,,,,,,,,
BDFINANCE,04-01-2018,21.9,22,21.8,22,574167,,,,,,,,,,,,,,,
BDLAMPS,04-01-2018,177,182,177,178.1,10706,,,,,,,,,,,,,,,
BDTHAI,04-01-2018,29.8,30,29.2,29.8,1796442,,,,,,,,,,,,,,,
BDWELDING,04-01-2018,24.1,24.1,23.8,23.9,115742,,,,,,,,,,,,,,,
BEACHHATCH,04-01-2018,16.4,17.2,16.1,17,102219,,,,,,,,,,,,,,,
BEACONPHAR,04-01-2018,21.1,21.3,20.9,21,325682,,,,,,,,,,,,,,,
BENGALWTL,04-01-2018,40.3,40.3,39.6,39.9,106717,,,,,,,,,,,,,,,
BERGERPBL,04-01-2018,2110,2110,2100,2101.4,150,,,,,,,,,,,,,,,
BEXIMCO,04-01-2018,28.2,28.4,27.7,27.9,1796496,,,,,,,,,,,,,,,
BGIC,04-01-2018,21.9,21.9,21.3,21.5,149270,,,,,,,,,,,,,,,
BIFC,04-01-2018,10.6,10.6,10.5,10.5,15550,,,,,,,,,,,,,,,
BNICL,04-01-2018,20.2,20.3,19.9,20,74905,,,,,,,,,,,,,,,
BRACBANK,04-01-2018,106.9,107.2,105.7,106.7,423441,,,,,,,,,,,,,,,
BSC,04-01-2018,46,46,45.2,45.5,682082,,,,,,,,,,,,,,,
BSCCL,04-01-2018,107.2,108,105.5,107.6,104941,,,,,,,,,,,,,,,
BSRMLTD,04-01-2018,103.5,103.5,102,102.8,80479,,,,,,,,,,,,,,,
BSRMSTEEL,04-01-2018,78.5,79.8,78.5,78.9,129967,,,,,,,,,,,,,,,
BXPHARMA,04-01-2018,104,105.2,103.4,104.9,130387,,,,,,,,,,,,,,,
BXSYNTH,04-01-2018,8.9,9.1,8.9,9,347417,,,,,,,,,,,,,,,
CAPMBDBLMF,04-01-2018,8.3,8.3,8.2,8.3,12005,,,,,,,,,,,,,,,
CENTRALINS,04-01-2018,25.9,25.9,24,24.3,58323,,,,,,,,,,,,,,,
CENTRALPHL,04-01-2018,20.2,20.2,19.6,19.8,525820,,,,,,,,,,,,,,,
CITYBANK,04-01-2018,52.1,52.4,51.5,51.6,1477067,,,,,,,,,,,,,,,
CITYGENINS,04-01-2018,18.4,18.5,18.2,18.3,85247,,,,,,,,,,,,,,,
CNATEX,04-01-2018,8.6,8.8,8.5,8.7,538447,,,,,,,,,,,,,,,
CONFIDCEM,04-01-2018,156.1,158.8,154.9,158.1,331656,,,,,,,,,,,,,,,
CONTININS,04-01-2018,22.3,22.6,22.3,22.5,19510,,,,,,,,,,,,,,,
CVOPRL,04-01-2018,212,212.9,209.6,212,39152,,,,,,,,,,,,,,,
DACCADYE,04-01-2018,9,9,8.8,8.9,85761,,,,,,,,,,,,,,,
DAFODILCOM,04-01-2018,45.9,45.9,44.7,44.9,140146,,,,,,,,,,,,,,,
DBH,04-01-2018,136,137.9,136,136.1,12860,,,,,,,,,,,,,,,
DBH1STMF,04-01-2018,9.4,9.5,9.4,9.5,7058,,,,,,,,,,,,,,,
DELTALIFE,04-01-2018,109.5,110.8,108.5,109.8,68293,,,,,,,,,,,,,,,
DELTASPINN,04-01-2018,9.9,10,9.8,9.8,848923,,,,,,,,,,,,,,,
DESCO,04-01-2018,46.8,47.2,46.6,47,279825,,,,,,,,,,,,,,,
DESHBANDHU,04-01-2018,23.7,24.3,23.2,24,319118,,,,,,,,,,,,,,,
DHAKABANK,04-01-2018,22,22.2,21.8,21.9,1352255,,,,,,,,,,,,,,,
DHAKAINS,04-01-2018,24.9,25,24.5,24.7,19505,,,,,,,,,,,,,,,
DOREENPWR,04-01-2018,120.3,121.7,119,119.4,372232,,,,,,,,,,,,,,,
DSHGARME,04-01-2018,252.8,253.9,248.9,249.3,23565,,,,,,,,,,,,,,,
DSSL,04-01-2018,20.8,21.4,20.4,21,8551375,,,,,,,,,,,,,,,
DULAMIACOT,04-01-2018,30.4,31.5,30.2,31.2,27658,,,,,,,,,,,,,,,
DUTCHBANGL,04-01-2018,150.3,150.3,147.8,148.1,72006,,,,,,,,,,,,,,,
EASTERNINS,04-01-2018,29.3,29.3,29.1,29.2,4215,,,,,,,,,,,,,,,
EASTLAND ,04-01-2018,24.4,24.4,24,24.2,2237,,,,,,,,,,,,,,,
EASTRNLUB,04-01-2018,977,977,955.1,958.7,690,,,,,,,,,,,,,,,
EBL,04-01-2018,50.6,50.9,50.5,50.6,98182,,,,,,,,,,,,,,,
EBL1STMF,04-01-2018,9.8,10,9.8,10,287540,,,,,,,,,,,,,,,
EBLNRBMF,04-01-2018,6.6,6.6,6.6,6.6,215344,,,,,,,,,,,,,,,
ECABLES,04-01-2018,199.2,217.5,199.2,215.2,120680,,,,,,,,,,,,,,,
EHL,04-01-2018,53,53.6,52.1,52.5,883823,,,,,,,,,,,,,,,
EMERALDOIL,04-01-2018,18.5,18.5,18.2,18.5,72734,,,,,,,,,,,,,,,
ENVOYTEX,04-01-2018,35,35,34.4,34.9,70320,,,,,,,,,,,,,,,
ETL,04-01-2018,17.6,18.1,17.4,17.8,1939244,,,,,,,,,,,,,,,
EXIM1STMF,04-01-2018,7,7,7,7,10263,,,,,,,,,,,,,,,
EXIMBANK,04-01-2018,17.5,17.5,17.3,17.4,2419873,,,,,,,,,,,,,,,
FAMILYTEX,04-01-2018,7.8,7.9,7.7,7.8,1145480,,,,,,,,,,,,,,,
FARCHEM,04-01-2018,20.2,20.2,19.8,19.9,320905,,,,,,,,,,,,,,,
FAREASTFIN,04-01-2018,11.7,11.8,11.6,11.7,238990,,,,,,,,,,,,,,,
FAREASTLIF,04-01-2018,72,72,71.4,71.5,65055,,,,,,,,,,,,,,,
FASFIN,04-01-2018,22.1,22.3,21.8,22,1179364,,,,,,,,,,,,,,,
FBFIF,04-01-2018,5.8,5.9,5.7,5.8,297770,,,,,,,,,,,,,,,
FEDERALINS,04-01-2018,13,13,12.6,12.7,82342,,,,,,,,,,,,,,,
FEKDIL,04-01-2018,20.4,20.6,20.2,20.4,403782,,,,,,,,,,,,,,,
FINEFOODS,04-01-2018,36,38.6,36,37.8,780028,,,,,,,,,,,,,,,
FIRSTFIN,04-01-2018,11.9,11.9,11.6,11.7,246310,,,,,,,,,,,,,,,
FIRSTSBANK,04-01-2018,15.6,15.6,15.3,15.4,640714,,,,,,,,,,,,,,,
FORTUNE,04-01-2018,40.8,41.6,40.7,40.8,587727,,,,,,,,,,,,,,,
FUWANGCER,04-01-2018,17.4,17.5,17.2,17.3,364863,,,,,,,,,,,,,,,
FUWANGFOOD,04-01-2018,20.4,20.7,20.4,20.5,1490482,,,,,,,,,,,,,,,
GBBPOWER,04-01-2018,19.8,20,19.7,19.8,260732,,,,,,,,,,,,,,,
GEMINISEA,04-01-2018,454,460,444.4,446.3,48932,,,,,,,,,,,,,,,
GENNEXT,04-01-2018,9.9,10.2,9.9,10,4731592,,,,,,,,,,,,,,,
GHAIL,04-01-2018,43.8,44,42.7,42.9,1020763,,,,,,,,,,,,,,,
GHCL,04-01-2018,39.9,39.9,39.1,39.2,16431,,,,,,,,,,,,,,,
GLAXOSMITH,04-01-2018,1553,1554,1552.7,1552.9,161,,,,,,,,,,,,,,,
GLOBALINS,04-01-2018,16,16,15.7,15.8,7715,,,,,,,,,,,,,,,
GOLDENSON,04-01-2018,13,13.1,12.9,12.9,265837,,,,,,,,,,,,,,,
GP,04-01-2018,487.6,487.6,477.8,478.2,310825,,,,,,,,,,,,,,,
GPHISPAT,04-01-2018,40.9,41,40,40.4,275946,,,,,,,,,,,,,,,
GQBALLPEN,04-01-2018,91.5,93.1,91.5,92.1,35642,,,,,,,,,,,,,,,
GRAMEENS2,04-01-2018,15.3,15.5,15.3,15.4,117199,,,,,,,,,,,,,,,
GREENDELMF,04-01-2018,9.4,9.4,9.4,9.4,3765,,,,,,,,,,,,,,,
GREENDELT,04-01-2018,61.4,61.5,61,61.1,14013,,,,,,,,,,,,,,,
GSPFINANCE,04-01-2018,31.5,31.5,31,31.1,159524,,,,,,,,,,,,,,,
HAKKANIPUL,04-01-2018,57.6,57.9,56.5,57.4,13483,,,,,,,,,,,,,,,
HEIDELBCEM,04-01-2018,418,427,416,416.8,10598,,,,,,,,,,,,,,,
HFL,04-01-2018,26.7,27,26.2,26.3,553309,,,,,,,,,,,,,,,
HRTEX,04-01-2018,33.4,34,33.1,33.7,184346,,,,,,,,,,,,,,,
HWAWELLTEX,04-01-2018,36.6,37.1,36.4,36.7,7100,,,,,,,,,,,,,,,
IBBLPBOND,04-01-2018,970,970,967,968.5,155,,,,,,,,,,,,,,,
IBNSINA,04-01-2018,253.8,253.9,248.5,249.3,56420,,,,,,,,,,,,,,,
ICB,04-01-2018,167.2,167.2,165.2,166.3,74737,,,,,,,,,,,,,,,
ICB2NDNRB,04-01-2018,10.6,10.6,10.5,10.5,124500,,,,,,,,,,,,,,,
ICB3RDNRB,04-01-2018,6.5,6.6,6.5,6.5,2340,,,,,,,,,,,,,,,
ICBAGRANI1,04-01-2018,7.9,8,7.8,7.9,8315,,,,,,,,,,,,,,,
ICBAMCL2ND,04-01-2018,8.3,8.4,8.3,8.4,13785,,,,,,,,,,,,,,,
