00DSEX,08-01-2018,6268.42,6273.80,6209.04,6210.50,47755630,,,,,,,,,,,,,,,
00DS30,08-01-2018,2283.22,2285.37,2258.56,2261.45,47755630,,,,,,,,,,,,,,,
00DSES,08-01-2018,1402.87,1405.45,1393.66,1394.64,47755630,,,,,,,,,,,,,,,
DSEX,08-01-2018,6268.42,6273.80,6209.04,6210.50,47755630,,,,,,,,,,,,,,,
DS30,08-01-2018,2283.22,2285.37,2258.56,2261.45,47755630,,,,,,,,,,,,,,,
DSES,08-01-2018,1402.87,1405.45,1393.66,1394.64,47755630,,,,,,,,,,,,,,,
1JANATAMF,08-01-2018,6.5,6.6,6.5,6.6,486384,,,,,,,,,,,,,,,
1STPRIMFMF,08-01-2018,15.8,15.8,15.4,15.5,180999,,,,,,,,,,,,,,,
AAMRANET,08-01-2018,95,97.7,95,95.4,115298,,,,,,,,,,,,,,,
AAMRATECH,08-01-2018,33.6,33.9,33.2,33.3,77675,,,,,,,,,,,,,,,
ABB1STMF,08-01-2018,6.5,6.5,6.4,6.4,394004,,,,,,,,,,,,,,,
ABBANK,08-01-2018,21.4,21.5,20.8,20.9,2497174,,,,,,,,,,,,,,,
ACI,08-01-2018,466.3,468,461,462.5,21592,,,,,,,,,,,,,,,
ACIFORMULA,08-01-2018,184.5,191.3,184.5,188.9,73677,,,,,,,,,,,,,,,
ACMELAB,08-01-2018,114,114,113.7,113.9,40889,,,,,,,,,,,,,,,
ACTIVEFINE,08-01-2018,35.5,35.6,35.1,35.2,615442,,,,,,,,,,,,,,,
AFCAGRO,08-01-2018,46.4,46.4,45.2,45.4,219770,,,,,,,,,,,,,,,
AFTABAUTO,08-01-2018,64,65,64,64.2,91577,,,,,,,,,,,,,,,
AGNISYSL,08-01-2018,22.8,22.9,22.5,22.6,190432,,,,,,,,,,,,,,,
AGRANINS,08-01-2018,20.6,20.8,20.6,20.8,14357,,,,,,,,,,,,,,,
AIBL1STIMF,08-01-2018,8,8,8,8,804350,,,,,,,,,,,,,,,
AIL,08-01-2018,128,128,120,122.9,95861,,,,,,,,,,,,,,,
ALARABANK,08-01-2018,24.7,25.1,24.6,24.9,1529152,,,,,,,,,,,,,,,
AL-HAJTEX,08-01-2018,95.3,95.3,93.3,93.5,55313,,,,,,,,,,,,,,,
ALIF,08-01-2018,24.5,24.5,23.4,23.5,5723917,,,,,,,,,,,,,,,
ALLTEX,08-01-2018,11.5,11.8,11.4,11.4,79246,,,,,,,,,,,,,,,
AMANFEED,08-01-2018,65,65.3,64.2,64.5,48953,,,,,,,,,,,,,,,
AMBEEPHA,08-01-2018,398.9,399,390.9,392.8,1585,,,,,,,,,,,,,,,
AMCL(PRAN),08-01-2018,227,231.2,225.5,229.2,65647,,,,,,,,,,,,,,,
ANLIMAYARN,08-01-2018,32.5,32.5,31.9,32.1,68905,,,,,,,,,,,,,,,
ANWARGALV,08-01-2018,79.5,79.5,76.3,76.5,135265,,,,,,,,,,,,,,,
APEXFOODS,08-01-2018,143,145,142,142.7,32796,,,,,,,,,,,,,,,
APEXFOOT,08-01-2018,325.5,328.7,323,326.2,15426,,,,,,,,,,,,,,,
APEXSPINN,08-01-2018,118.7,119.2,116.8,117.6,77475,,,,,,,,,,,,,,,
APEXTANRY,08-01-2018,147.4,148,147,147.6,13666,,,,,,,,,,,,,,,
APOLOISPAT,08-01-2018,17.1,17.1,16.8,16.9,873764,,,,,,,,,,,,,,,
ARAMIT,08-01-2018,365,368,356.9,357.8,13948,,,,,,,,,,,,,,,
ARAMITCEM ,08-01-2018,29.6,30.3,29.6,29.7,26561,,,,,,,,,,,,,,,
ARGONDENIM,08-01-2018,31.6,31.7,31.2,31.3,204725,,,,,,,,,,,,,,,
ASIAINS,08-01-2018,23.1,23.1,23,23.1,1307,,,,,,,,,,,,,,,
ASIAPACINS,08-01-2018,24.4,25.1,24.3,24.5,2000,,,,,,,,,,,,,,,
ATCSLGF,08-01-2018,12,12,11.6,11.7,83700,,,,,,,,,,,,,,,
ATLASBANG,08-01-2018,130.8,134,130.8,133.4,43669,,,,,,,,,,,,,,,
AZIZPIPES ,08-01-2018,151.2,155,151.2,154.1,11843,,,,,,,,,,,,,,,
BANGAS,08-01-2018,190.9,191.9,188.5,190.5,29091,,,,,,,,,,,,,,,
BANKASIA,08-01-2018,22.9,22.9,22,22.1,466374,,,,,,,,,,,,,,,
BARKAPOWER,08-01-2018,37.8,37.8,37.1,37.3,875986,,,,,,,,,,,,,,,
BATASHOE,08-01-2018,1167,1169.4,1167,1169.1,7113,,,,,,,,,,,,,,,
BATBC,08-01-2018,3392,3415,3391.6,3393.1,31,,,,,,,,,,,,,,,
BAYLEASING,08-01-2018,28.3,28.7,27.7,28,346501,,,,,,,,,,,,,,,
BBS,08-01-2018,39.3,39.7,39,39.1,306261,,,,,,,,,,,,,,,
BBSCABLES,08-01-2018,112.2,112.8,109.5,109.9,433085,,,,,,,,,,,,,,,
BDAUTOCA,08-01-2018,113.5,113.5,109.7,110.2,11733,,,,,,,,,,,,,,,
BDCOM,08-01-2018,29.4,29.5,28.6,28.8,851701,,,,,,,,,,,,,,,
BDFINANCE,08-01-2018,21.8,21.8,21.6,21.7,262061,,,,,,,,,,,,,,,
BDLAMPS,08-01-2018,176.2,181.7,176.2,180.7,7183,,,,,,,,,,,,,,,
BDTHAI,08-01-2018,30.7,30.9,30.3,30.6,2059400,,,,,,,,,,,,,,,
BDWELDING,08-01-2018,23.9,24,23.3,23.8,60506,,,,,,,,,,,,,,,
BEACHHATCH,08-01-2018,16.7,17,16.4,16.8,59066,,,,,,,,,,,,,,,
BEACONPHAR,08-01-2018,21.3,21.4,21.1,21.3,216924,,,,,,,,,,,,,,,
BENGALWTL,08-01-2018,39.3,39.7,38.6,39,125223,,,,,,,,,,,,,,,
