00DSEX,08-02-2018,5936.35,5975.29,5936.35,5965.63,30064250,,,,,,,,,,,,,,,
00DS30,08-02-2018,2216.14,2232.25,2215.89,2225.48,30064250,,,,,,,,,,,,,,,
00DSES,08-02-2018,1384.20,1391.39,1384.20,1389.57,30064250,,,,,,,,,,,,,,,
DSEX,08-02-2018,5936.35,5975.29,5936.35,5965.63,30064250,,,,,,,,,,,,,,,
DS30,08-02-2018,2216.14,2232.25,2215.89,2225.48,30064250,,,,,,,,,,,,,,,
DSES,08-02-2018,1384.20,1391.39,1384.20,1389.57,30064250,,,,,,,,,,,,,,,
1JANATAMF,08-02-2018,6.3,6.4,6.3,6.4,81151,,,,,,,,,,,,,,,
1STPRIMFMF,08-02-2018,13.7,13.8,13.6,13.6,17270,,,,,,,,,,,,,,,
AAMRANET,08-02-2018,87,87.5,84.8,86.1,159356,,,,,,,,,,,,,,,
AAMRATECH,08-02-2018,31.8,32,31.5,31.7,11151,,,,,,,,,,,,,,,
ABB1STMF,08-02-2018,6,6.1,6,6,213229,,,,,,,,,,,,,,,
ABBANK,08-02-2018,18,18.1,17.8,18,667438,,,,,,,,,,,,,,,
ACI,08-02-2018,430.1,431.6,428.7,429.7,9186,,,,,,,,,,,,,,,
ACIFORMULA,08-02-2018,183.1,185,180.9,183.9,10169,,,,,,,,,,,,,,,
ACMELAB,08-02-2018,112.4,114.5,112.4,113.9,30296,,,,,,,,,,,,,,,
ACTIVEFINE,08-02-2018,32.1,32.6,32.1,32.5,139677,,,,,,,,,,,,,,,
AFCAGRO,08-02-2018,38.9,39.3,37.9,38,101480,,,,,,,,,,,,,,,
AFTABAUTO,08-02-2018,60,60.4,58.6,60.1,31990,,,,,,,,,,,,,,,
AGNISYSL,08-02-2018,19.9,20.1,19.5,19.6,125872,,,,,,,,,,,,,,,
AGRANINS,08-02-2018,19.3,19.6,19.3,19.5,1500,,,,,,,,,,,,,,,
AIBL1STIMF,08-02-2018,8.2,8.5,8.2,8.3,106931,,,,,,,,,,,,,,,
AIL,08-02-2018,115,116.5,113,113.4,539302,,,,,,,,,,,,,,,
ALARABANK,08-02-2018,23.1,24.1,23.1,23.9,812646,,,,,,,,,,,,,,,
AL-HAJTEX,08-02-2018,81.6,82.3,81,81.5,33356,,,,,,,,,,,,,,,
ALIF,08-02-2018,13.7,13.7,13.4,13.5,1382327,,,,,,,,,,,,,,,
ALLTEX,08-02-2018,11.6,11.7,11.3,11.5,27237,,,,,,,,,,,,,,,
AMANFEED,08-02-2018,55.6,55.6,54.1,54.6,79362,,,,,,,,,,,,,,,
AMBEEPHA,08-02-2018,383.2,393.7,383.1,389.8,1868,,,,,,,,,,,,,,,
AMCL(PRAN),08-02-2018,217.7,217.7,214.2,215.2,5818,,,,,,,,,,,,,,,
ANLIMAYARN,08-02-2018,29.9,29.9,29.4,29.6,6261,,,,,,,,,,,,,,,
ANWARGALV,08-02-2018,67.8,70.6,67.5,69.9,284769,,,,,,,,,,,,,,,
APEXFOODS,08-02-2018,141.6,142,138.5,139.6,55294,,,,,,,,,,,,,,,
APEXFOOT,08-02-2018,313,317,312,314.1,3197,,,,,,,,,,,,,,,
APEXSPINN,08-02-2018,113.4,113.4,110.8,112.1,5898,,,,,,,,,,,,,,,
APEXTANRY,08-02-2018,135,138.8,132.7,136.2,29669,,,,,,,,,,,,,,,
APOLOISPAT,08-02-2018,14,14,13.9,14,320261,,,,,,,,,,,,,,,
ARAMIT,08-02-2018,348.8,351.3,345.2,346.4,9849,,,,,,,,,,,,,,,
ARAMITCEM ,08-02-2018,30.2,30.8,29,29.2,79600,,,,,,,,,,,,,,,
ARGONDENIM,08-02-2018,28.8,29.3,28.6,29,64033,,,,,,,,,,,,,,,
