00DSEX,15-02-2018,6102.31,6117.26,6048.32,6050.20,51217430,,,,,,,,,,,,,,,
00DS30,15-02-2018,2250.53,2257.20,2229.12,2230.93,51217430,,,,,,,,,,,,,,,
00DSES,15-02-2018,1410.63,1414.95,1403.98,1405.44,51217430,,,,,,,,,,,,,,,
DSEX,15-02-2018,6102.31,6117.26,6048.32,6050.20,51217430,,,,,,,,,,,,,,,
DS30,15-02-2018,2250.53,2257.20,2229.12,2230.93,51217430,,,,,,,,,,,,,,,
DSES,15-02-2018,1410.63,1414.95,1403.98,1405.44,51217430,,,,,,,,,,,,,,,
1JANATAMF,15-02-2018,6.3,6.4,6.2,6.2,120033,,,,,,,,,,,,,,,
1STPRIMFMF,15-02-2018,14.3,14.4,13.9,14,246842,,,,,,,,,,,,,,,
AAMRANET,15-02-2018,91,91.3,88.8,89.1,214765,,,,,,,,,,,,,,,
AAMRATECH,15-02-2018,33.5,34,32.8,33,310664,,,,,,,,,,,,,,,
ABB1STMF,15-02-2018,6.1,6.2,6.1,6.1,617320,,,,,,,,,,,,,,,
ABBANK,15-02-2018,19.1,19.1,18.7,18.8,1168834,,,,,,,,,,,,,,,
ACI,15-02-2018,420.1,430,418.5,425.1,193823,,,,,,,,,,,,,,,
ACIFORMULA,15-02-2018,184.6,186,183,185.1,15066,,,,,,,,,,,,,,,
ACMELAB,15-02-2018,113.5,114,112.8,113,246010,,,,,,,,,,,,,,,
ACTIVEFINE,15-02-2018,34.7,35.9,34.7,34.9,1240702,,,,,,,,,,,,,,,
AFCAGRO,15-02-2018,42.7,42.7,41.5,41.6,192436,,,,,,,,,,,,,,,
AFTABAUTO,15-02-2018,61.5,61.6,60.5,61.1,51896,,,,,,,,,,,,,,,
AGNISYSL,15-02-2018,24,24.4,23.4,23.5,2120381,,,,,,,,,,,,,,,
AGRANINS,15-02-2018,19.4,19.7,19.4,19.5,22868,,,,,,,,,,,,,,,
AIBL1STIMF,15-02-2018,8.5,8.5,8.4,8.5,40000,,,,,,,,,,,,,,,
AIL,15-02-2018,112.4,114.2,109.1,109.6,652532,,,,,,,,,,,,,,,
ALARABANK,15-02-2018,24.1,24.2,24.1,24.1,1291251,,,,,,,,,,,,,,,
AL-HAJTEX,15-02-2018,87,92.2,86.5,90.6,215288,,,,,,,,,,,,,,,
ALIF,15-02-2018,14.7,14.8,14.3,14.4,1703383,,,,,,,,,,,,,,,
ALLTEX,15-02-2018,14,14.1,13.4,13.6,230441,,,,,,,,,,,,,,,
AMANFEED,15-02-2018,64,64.7,61.1,62.3,178942,,,,,,,,,,,,,,,
AMBEEPHA,15-02-2018,417,420.9,405,409.1,9677,,,,,,,,,,,,,,,
AMCL(PRAN),15-02-2018,219,221,215,215.7,18959,,,,,,,,,,,,,,,
ANLIMAYARN,15-02-2018,31.1,32.5,30.5,31.8,159880,,,,,,,,,,,,,,,
ANWARGALV,15-02-2018,82.9,85.1,82.8,84,788738,,,,,,,,,,,,,,,
APEXFOODS,15-02-2018,172.6,176.9,170,174,317896,,,,,,,,,,,,,,,
APEXFOOT,15-02-2018,329,341,328,335.6,48560,,,,,,,,,,,,,,,
APEXSPINN,15-02-2018,122.1,123,118,118.5,68253,,,,,,,,,,,,,,,
APEXTANRY,15-02-2018,146,148.3,142,145.4,26905,,,,,,,,,,,,,,,
APOLOISPAT,15-02-2018,15.2,15.2,14.8,14.9,630329,,,,,,,,,,,,,,,
ARAMIT,15-02-2018,356,356,347.7,348.2,4950,,,,,,,,,,,,,,,
ARAMITCEM ,15-02-2018,31.4,31.4,30.5,30.6,20223,,,,,,,,,,,,,,,
ARGONDENIM,15-02-2018,30.2,30.3,29.7,30,578009,,,,,,,,,,,,,,,
ASIAINS,15-02-2018,23,23.3,22.2,22.5,4227,,,,,,,,,,,,,,,
ASIAPACINS,15-02-2018,23.7,25.1,23.7,24.7,116547,,,,,,,,,,,,,,,
ATCSLGF,15-02-2018,10.8,10.8,10.7,10.8,58036,,,,,,,,,,,,,,,
ATLASBANG,15-02-2018,140,143,136.9,139.1,105208,,,,,,,,,,,,,,,
AZIZPIPES ,15-02-2018,152.4,152.4,145,145.6,42003,,,,,,,,,,,,,,,
